test/stochastic/0/hammer-v1/return	test/stochastic/0/hammer-v1/ep_length	test/stochastic/0/hammer-v1/success	test/stochastic/1/hammer-v1/return	test/stochastic/1/hammer-v1/ep_length	test/stochastic/1/hammer-v1/success	test/stochastic/average_success	epoch	train/return	train/ep_length	total_env_steps	current_task_steps	train/q1	train/q2	train/logp_pi	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/alpha/1	train/loss_reg	train/success	train/active_env	walltime
179380.44	200.0	1.0	-65.12190298410731	200.0	0.0	0.5	21	156529.5943985172	200.0	420000	420000	434.88834	434.87946	4.0385365	-434.85825	65.418976	65.58664	0.11666477712132037	2.7182817459106445	0.0	0.91	0	12851.616672754288
180445.4	200.0	1.0	-69.23154130563758	200.0	0.0	0.5	22	158821.51797078113	200.0	440000	440000	443.34036	443.33145	4.0271583	-443.2786	63.570526	64.01965	0.11391893018782139	2.7182817459106445	0.0	0.97	0	13243.586028814316
189851.25	200.0	1.0	-63.57069437664826	200.0	0.0	0.5	23	160517.38689159203	200.0	460000	460000	447.1473	447.1414	4.038119	-446.97614	65.12011	64.65711	0.1156394564177841	2.7182817459106445	0.0	0.95	0	13898.035821676254
184715.42416874794	200.0	1.0	-28.527511756824545	200.0	0.0	0.5	24	152920.3959723982	200.0	480000	480000	449.8656	449.85034	4.0363283	-449.6785	63.856594	65.02181	0.11157580054067075	2.7182817459106445	0.0	0.91	0	14432.446836233139
192247.48	200.0	1.0	-68.4596333938929	200.0	0.0	0.5	25	157002.31340023113	200.0	500000	500000	452.44476	452.4175	4.041527	-452.23254	65.14389	63.932926	0.10988019841127097	2.7182817459106445	0.0	0.94	0	14857.352823734283
163112.25258543465	200.0	1.0	-68.451051389791	200.0	0.0	0.5	26	157862.02193322734	200.0	520000	520000	454.7884	454.76785	4.0219307	-454.5641	64.06816	64.82081	0.11192639033533633	2.7182817459106445	0.0	0.96	0	15346.000332593918
80624.94304376525	200.0	0.2	-75.57495836677734	200.0	0.0	0.1	27	155884.83035779334	200.0	540000	540000	458.39594	458.39386	4.0401545	-458.1447	66.1975	66.52731	0.11023663484863937	2.7182817459106445	0.0	0.92	0	15937.718193292618
180076.95	200.0	1.0	-68.04988697703617	200.0	0.0	0.5	28	154143.96579663845	200.0	560000	560000	462.49744	462.50934	4.04109	-462.2382	66.14203	65.50123	0.10703235564045609	2.7182817459106445	0.0	0.97	0	16517.182361602783
191772.45	200.0	1.0	-60.45989334142472	200.0	0.0	0.5	29	159011.96172673075	200.0	580000	580000	464.40985	464.4108	4.039806	-464.1778	66.8323	66.88455	0.10853519193157554	2.7182817459106445	0.0	0.93	0	17106.998618602753
186626.0568731438	200.0	1.0	-68.16958807437017	200.0	0.0	0.5	30	158633.91388093057	200.0	600000	600000	471.11246	471.13116	4.0347815	-470.7707	68.99068	68.74227	0.10904373309649527	2.7182817459106445	0.0	0.92	0	17690.30605840683
213796.71833675928	200.0	1.0	-60.346994121718716	200.0	0.0	0.5	31	165651.6077531767	200.0	620000	620000	474.2101	474.203	4.0272565	-473.88354	70.53996	69.99893	0.1075919920321554	2.7182817459106445	0.0	0.94	0	18277.17194890976
72769.1841549515	200.0	0.1	-57.25124451194447	200.0	0.0	0.05	32	158259.19044679092	200.0	640000	640000	474.27686	474.27994	4.041745	-473.8779	69.871635	69.000206	0.10630474116317928	2.7182817459106445	0.0	0.91	0	18855.54068160057
195007.67	200.0	1.0	-64.75850415944372	200.0	0.0	0.5	33	168104.82078824108	200.0	660000	660000	476.3123	476.313	4.041519	-475.92206	66.60086	65.86001	0.1033373690418899	2.7182817459106445	0.0	0.95	0	19447.888669252396
186468.30743397863	200.0	0.9	-52.30955489540205	200.0	0.0	0.45	34	158418.34133492282	200.0	680000	680000	477.8699	477.8666	4.0503173	-477.4916	66.64006	66.41833	0.1041944033332169	2.7182817459106445	0.0	0.92	0	20036.30951523781
11713.21223874693	200.0	0.2	-56.87342915500743	200.0	0.0	0.1	35	163902.34228889245	200.0	700000	700000	480.5107	480.5039	4.044966	-480.1529	67.383125	66.96616	0.10465947471186518	2.7182817459106445	0.0	0.91	0	20629.82803750038
186638.78	200.0	1.0	-64.55880908292811	200.0	0.0	0.5	36	163667.39071695873	200.0	720000	720000	485.3012	485.28604	4.0503297	-484.9531	68.75107	68.70838	0.10395290298610926	2.7182817459106445	0.0	0.96	0	21124.71414065361
205511.59581254277	200.0	1.0	-65.43920213801557	200.0	0.0	0.5	37	160766.42826349265	200.0	740000	740000	486.9047	486.89496	4.0340023	-486.4773	67.493195	67.02354	0.1034119906000793	2.7182817459106445	0.0	0.92	0	21471.806715726852
184851.65146337944	200.0	1.0	965.1545800686641	200.0	0.0	0.5	38	155612.26171150777	200.0	760000	760000	489.69904	489.70074	4.0447917	-489.28384	67.51639	65.974815	0.10333487467691302	2.7182817459106445	0.0	0.94	0	21809.97135233879
200733.69839316397	200.0	1.0	-57.28479042705326	200.0	0.0	0.5	39	166040.11619325308	200.0	780000	780000	492.6164	492.60266	4.0419164	-492.2343	67.464134	68.03493	0.10291543480232358	2.7182817459106445	0.0	0.97	0	22152.530934095383
189027.04017329204	200.0	1.0	-57.965463972004805	200.0	0.0	0.5	40	168479.34968426105	200.0	800000	800000	493.6418	493.61435	4.0440283	-493.2636	67.356834	66.71096	0.10239589257985353	2.7182817459106445	0.0	0.94	0	22510.192396879196
12715.559	200.0	0.1	-64.05277527472137	200.0	0.0	0.05	41	162899.62906584056	200.0	820000	820000	497.74985	497.7369	4.049342	-497.3769	66.57288	66.62232	0.10242260629311203	2.7182817459106445	0.0	0.97	0	22876.995344161987
170792.25839004008	200.0	0.8	-62.509859812857414	200.0	0.0	0.4	42	165546.73352413755	200.0	840000	840000	498.39984	498.403	4.033081	-497.96835	66.96172	67.222664	0.10047621800825	2.7182817459106445	0.0	0.97	0	23237.03263449669
201314.88031055336	200.0	1.0	-39.55400955548132	200.0	0.2	0.6	43	164138.41327828984	200.0	860000	860000	500.5151	500.51294	4.053947	-500.0726	68.52151	69.44171	0.10005243123732507	2.7182817459106445	0.0	0.91	0	23586.247694969177
79102.05209289205	200.0	0.4	-62.661307206902244	200.0	0.0	0.2	44	154362.77161788451	200.0	880000	880000	505.0389	505.0465	4.052896	-504.6295	69.15372	68.439926	0.09962597609646619	2.7182817459106445	0.0	0.92	0	23932.511820793152
56253.83274713089	200.0	0.4	-61.07834740252431	200.0	0.0	0.2	45	161092.9889859961	200.0	900000	900000	507.8726	507.86774	4.044621	-507.4711	72.536385	72.36925	0.10103600147217512	2.7182817459106445	0.0	0.9	0	24273.789823293686
192328.7676407799	200.0	1.0	-61.0299169868494	200.0	0.0	0.5	46	163173.84201918944	200.0	920000	920000	508.516	508.51535	4.0504913	-508.10196	71.093445	72.06256	0.10091755869016052	2.7182817459106445	0.0	0.94	0	24600.94757437706
196314.52317500836	200.0	1.0	-54.68249512916803	200.0	0.1	0.55	47	164138.93387588963	200.0	940000	940000	508.8008	508.78604	4.054604	-508.3927	70.60121	71.12467	0.0983965789988637	2.7182817459106445	0.0	0.96	0	24931.805245637894
