test/stochastic/0/hammer-v1/return	test/stochastic/0/hammer-v1/ep_length	test/stochastic/0/hammer-v1/success	test/stochastic/1/hammer-v1/return	test/stochastic/1/hammer-v1/ep_length	test/stochastic/1/hammer-v1/success	test/stochastic/average_success	epoch	train/return	train/ep_length	total_env_steps	current_task_steps	train/q1	train/q2	train/logp_pi	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/alpha/1	train/loss_reg	train/success	train/active_env	walltime
-38.98318889988336	200.0	0.0	-37.528007218694974	200.0	0.0	0.0	1	-9.72307638508303	200.0	20000	20000	12.974185	12.974448	2.1749172	-13.320798	0.25049913	0.23851678	0.11160570814284054	2.7182817459106445	0.0	0.01	0	508.1443250179291
-18.736823907290166	200.0	0.0	-45.705885448849386	200.0	0.0	0.0	2	651.6590317274961	200.0	40000	40000	254.582	254.58247	4.156772	-260.5524	100.78766	101.81452	0.2721520426875446	2.7182817459106445	0.0	0.0	0	1049.303567647934
516.2191	200.0	0.0	-35.94091909040875	200.0	0.0	0.0	3	6659.495892204406	200.0	60000	60000	2145.0293	2145.0188	4.0590425	-2187.832	3477.7288	3512.926	1.8260542574852705	2.7182817459106445	0.0	0.0	0	1603.4384005069733
13175.07	200.0	0.0	-43.50877886348545	200.0	0.0	0.0	4	22403.11356351659	200.0	80000	80000	6611.508	6611.52	4.009763	-6673.9937	19574.562	19337.719	4.120546577608585	2.7182817459106445	0.0	0.0	0	2151.6079421043396
71319.26485532639	200.0	0.4	-42.4537933563074	200.0	0.0	0.2	5	44381.71373757024	200.0	100000	100000	12389.028	12389.051	4.0116835	-12480.523	66846.695	66161.22	6.9804917954206465	2.7182817459106445	0.0	0.13	0	2724.2104077339172
110527.40845096143	200.0	0.8	-47.78882672945057	200.0	0.0	0.4	6	71066.1788624807	200.0	120000	120000	22178.531	22178.465	4.008871	-22317.049	220586.23	222042.66	11.465506416606903	2.7182817459106445	0.0	0.6	0	3272.082726240158
80574.19138354521	200.0	0.9	-48.36763818001168	200.0	0.0	0.45	7	102794.7308469657	200.0	140000	140000	36553.098	36553.04	4.0038605	-36773.418	476564.03	485982.4	18.51170415558815	2.7182817459106445	0.0	0.85	0	4018.5591793060303
291.4766306284683	200.0	0.2	-66.50903226715123	200.0	0.0	0.1	8	108129.46013559526	200.0	160000	160000	48575.2	48575.21	4.0016947	-48773.91	578034.9	577638.94	20.359677054977418	2.7182817459106445	0.0	0.91	0	4597.651318311691
68493.79367284496	200.0	0.7	-78.01791604134138	200.0	0.0	0.35	9	117239.77150559278	200.0	180000	180000	54411.227	54411.22	4.000718	-54561.773	632468.3	629954.2	21.380527079963684	2.7182817459106445	0.0	0.92	0	5326.708448171616
94244.47815906536	200.0	0.8	-48.3912979991951	200.0	0.0	0.4	10	104972.86353612857	200.0	200000	200000	58144.812	58144.82	4.000522	-58262.598	771361.56	772730.4	21.487349858951568	2.7182817459106445	0.0	0.86	0	6134.013534784317
80155.50275269123	200.0	0.7	-52.3809952396967	200.0	0.0	0.35	11	104840.66420525008	200.0	220000	220000	60677.484	60677.477	4.0028777	-60775.168	856868.56	852840.4	22.439499203681947	2.7182817459106445	0.0	0.88	0	6732.685927152634
149883.66782785932	200.0	1.0	-49.63006683739669	200.0	0.0	0.5	12	107816.35848291365	200.0	240000	240000	62811.387	62811.41	3.9996464	-62902.785	843134.6	839176.94	23.233777133750916	2.7182817459106445	0.0	0.91	0	7286.19677734375
116444.1388815858	200.0	0.8	-26.95881182979536	200.0	0.0	0.4	13	122216.43578049813	200.0	260000	260000	64440.1	64439.98	4.000396	-64515.867	791971.5	787412.4	22.51546802587509	2.7182817459106445	0.0	0.89	0	7812.298290967941
152680.075725138	200.0	1.0	-41.1315001261571	200.0	0.0	0.5	14	125987.61820203942	200.0	280000	280000	66876.71	66876.66	3.9999633	-66968.63	745617.1	749797.1	22.074231366443634	2.7182817459106445	0.0	0.92	0	8351.761606931686
125860.78402328472	200.0	0.9	-30.85953602124048	200.0	0.0	0.45	15	127854.90691455625	200.0	300000	300000	69676.24	69676.39	4.000453	-69764.73	696504.94	693848.7	20.718159864425658	2.7182817459106445	0.0	0.96	0	8895.057886362076
143053.53715616366	200.0	1.0	-28.141906089730604	200.0	0.0	0.5	16	133920.42179092026	200.0	320000	320000	71491.555	71491.58	4.0007024	-71576.086	705276.6	706823.5	20.547008457660674	2.7182817459106445	0.0	0.92	0	9437.716619491577
174093.09732204143	200.0	1.0	-34.11785662082314	200.0	0.0	0.5	17	127599.51117701348	200.0	340000	340000	73247.49	73247.45	4.0003304	-73315.99	743557.4	743229.75	20.418142887878417	2.7182817459106445	0.0	0.86	0	9979.041872262955
151893.1335245503	200.0	1.0	-28.42594053027949	200.0	0.0	0.5	18	140840.50948752425	200.0	360000	360000	74496.29	74496.3	4.000544	-74555.445	833832.1	839212.9	20.562565647792816	2.7182817459106445	0.0	0.94	0	10552.770956754684
145445.01580832677	200.0	1.0	-29.808723529193855	200.0	0.0	0.5	19	134327.7176422158	200.0	380000	380000	76237.96	76237.92	4.0010066	-76296.52	826466.1	828309.8	20.33181351222992	2.7182817459106445	0.0	0.97	0	11112.186736822128
158944.8598846527	200.0	1.0	-23.877767706431662	200.0	0.0	0.5	20	141179.34830418575	200.0	400000	400000	77542.39	77542.33	4.0008335	-77597.25	810853.7	815928.06	19.801064371967314	2.7182817459106445	0.0	0.98	0	11662.8189163208
