test/stochastic/0/push-v1/return	test/stochastic/0/push-v1/ep_length	test/stochastic/0/push-v1/success	test/stochastic/1/window-close-v1/return	test/stochastic/1/window-close-v1/ep_length	test/stochastic/1/window-close-v1/success	test/stochastic/2/hammer-v1/return	test/stochastic/2/hammer-v1/ep_length	test/stochastic/2/hammer-v1/success	test/stochastic/3/push-v1/return	test/stochastic/3/push-v1/ep_length	test/stochastic/3/push-v1/success	test/stochastic/4/window-close-v1/return	test/stochastic/4/window-close-v1/ep_length	test/stochastic/4/window-close-v1/success	test/stochastic/5/hammer-v1/return	test/stochastic/5/hammer-v1/ep_length	test/stochastic/5/hammer-v1/success	test/stochastic/average_success	epoch	train/return	train/ep_length	total_env_steps	current_task_steps	train/q1	train/q2	train/logp_pi	train/loss_pi	train/loss_q1	train/loss_q2	train/alpha/0	train/alpha/1	train/alpha/2	train/alpha/3	train/alpha/4	train/alpha/5	train/loss_reg	train/success	train/active_env	walltime
194943.60315738624	200.0	0.9	-103.08692191867931	200.0	0.0	-111.4567294901639	200.0	0.0	157.7530813875781	200.0	0.0	-60.441799231434665	200.0	0.0	-56.64946478275393	200.0	0.0	0.15	19	176303.4107336282	200.0	380000	380000	69346.14	69346.516	4.001789	-69377.79	4712011.0	4653069.0	27.74611482772827	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.88	0	9342.285527467728
160592.98028510046	200.0	0.7	-107.2039279696522	200.0	0.0	-61.236835942130426	200.0	0.0	-43.38301990551158	200.0	0.1	-60.276266342626265	200.0	0.0	-58.35970515709539	200.0	0.0	0.13333333333333333	20	170104.04309206098	200.0	400000	400000	72010.39	72011.375	3.999191	-72052.7	4930065.0	4872857.0	27.921687949943543	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.97	0	9824.918267011642
134874.34854133657	200.0	0.8	-91.82541278298001	200.0	0.0	-65.34665623495798	200.0	0.0	-61.162429720799594	200.0	0.0	-45.80373409028083	200.0	0.0	-48.88212750800616	200.0	0.0	0.13333333333333333	21	200163.95802800715	200.0	420000	420000	75314.195	75314.94	4.000775	-75351.4	4861005.0	4792602.0	28.120896849536894	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.93	0	10310.760309934616
171753.69863269498	200.0	0.8	-81.52196946832089	200.0	0.0	-58.32045509512809	200.0	0.0	703.4534156530627	200.0	0.0	47.888711505981135	200.0	0.0	-56.56983490104451	200.0	0.0	0.13333333333333333	22	174628.23213903993	200.0	440000	440000	77203.555	77204.2	4.002217	-77230.055	4874762.5	4827982.5	27.936720836544037	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.89	0	10794.896677494049
160094.85322502765	200.0	1.0	-82.03582970041607	200.0	0.0	-61.90714936028659	200.0	0.0	-29.90117810175679	200.0	0.1	-52.492440135982825	200.0	0.0	-68.24304183126593	200.0	0.0	0.18333333333333332	23	168109.54311653107	200.0	460000	460000	77941.516	77942.17	3.998258	-77944.266	5084514.0	5037977.0	27.848880220127107	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.92	0	11286.004085302353
171508.85708866752	200.0	0.9	-75.74913872330518	200.0	0.0	-64.52462311048778	200.0	0.0	-55.19325900211334	200.0	0.0	-24.02973042610063	200.0	0.0	-62.868084598008885	200.0	0.0	0.15	24	179242.61145976876	200.0	480000	480000	79125.125	79125.555	4.0023217	-79130.14	5072133.5	5026978.0	28.427481850624083	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.89	0	11793.901836395264
160632.7675310286	200.0	0.8	-78.42017457180053	200.0	0.0	-54.61964095908165	200.0	0.0	-56.28422203287543	200.0	0.0	-54.15310194717724	200.0	0.0	-75.90011937972287	200.0	0.0	0.13333333333333333	25	173809.38644868712	200.0	500000	500000	80115.91	80116.09	4.0006647	-80119.27	5232670.0	5184874.0	28.693903852272033	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.88	0	12290.901084423065
128693.09817899349	200.0	0.8	-61.51580121580503	200.0	0.0	-26.658658697085183	200.0	0.0	265.9284553725219	200.0	0.0	-61.050090285387384	200.0	0.0	-51.325723111998386	200.0	0.0	0.13333333333333333	26	175796.23095962324	200.0	520000	520000	81772.84	81773.234	3.9992316	-81765.76	5159125.0	5151016.0	28.38749207525253	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.92	0	12803.486883163452
126950.05253231377	200.0	0.8	-67.96957668823914	200.0	0.0	-58.048065143124816	200.0	0.0	27.89394973524147	200.0	0.0	-61.22867067754373	200.0	0.0	-61.0163440842446	200.0	0.0	0.13333333333333333	27	167715.16030095587	200.0	540000	540000	82246.0	82246.234	4.0024967	-82229.625	5444190.5	5419539.0	28.70269172344208	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.88	0	13284.069144248962
97623.38115014382	200.0	0.9	-80.50215114563709	200.0	0.0	-59.18903421923106	200.0	0.0	854.5399883032514	200.0	0.0	-56.620592508592814	200.0	0.0	-87.37704434656271	200.0	0.0	0.15	28	174720.24130079255	200.0	560000	560000	82563.984	82564.32	4.0009193	-82529.54	5500543.5	5507248.0	29.184214469528197	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	2.7182817459106445	0.0	0.9	0	13757.944990158081
